"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","AZ","Arizona","Maricopa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","72.0",,,"69.3","74.3","4,585,871","3,572,375","04013","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-112.491401814525 33.3490920459607)"
"2023","CA","California","Los Angeles","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Age-adjusted prevalence","11.8",,,"9.1","14.9","9,663,345","7,710,575","06037","PREVENT","ACCESS2","AgeAdjPrv","Health Insurance","POINT (-118.224550062411 34.321384729882)"
"2023","CA","California","Los Angeles","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Age-adjusted prevalence","11.6",,,"10.4","12.8","9,663,345","7,710,575","06037","HLTHOUT","DIABETES","AgeAdjPrv","Diabetes","POINT (-118.224550062411 34.321384729882)"
"2023","CA","California","Los Angeles","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","11.7",,,"8.9","14.6","9,663,345","7,710,575","06037","PREVENT","ACCESS2","CrdPrv","Health Insurance","POINT (-118.224550062411 34.321384729882)"
"2023","CA","California","Los Angeles","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","26.4",,,"23.7","29.4","9,663,345","7,710,575","06037","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-118.224550062411 34.321384729882)"
"2023","AZ","Arizona","Maricopa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","73.3",,,"70.7","75.5","4,585,871","3,572,375","04013","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-112.491401814525 33.3490920459607)"
"2023","CA","California","Los Angeles","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","26.5",,,"23.8","29.5","9,663,345","7,710,575","06037","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-118.224550062411 34.321384729882)"
"2023","AZ","Arizona","Maricopa","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","30.8",,,"28.6","33.1","4,585,871","3,572,375","04013","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure","POINT (-112.491401814525 33.3490920459607)"
"2023","CA","California","Los Angeles","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","12.6",,,"11.3","13.9","9,663,345","7,710,575","06037","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-118.224550062411 34.321384729882)"
"2023","CA","California","Los Angeles","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence","28.4",,,"26.4","30.5","9,663,345","7,710,575","06037","HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure","POINT (-118.224550062411 34.321384729882)"
"2023","CA","California","Los Angeles","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.7",,,"68.3","73.2","9,663,345","7,710,575","06037","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-118.224550062411 34.321384729882)"
"2023","AZ","Arizona","Maricopa","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence","28.6",,,"26.5","30.8","4,585,871","3,572,375","04013","HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure","POINT (-112.491401814525 33.3490920459607)"
"2023","CA","California","Los Angeles","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","71.8",,,"69.5","74.2","9,663,345","7,710,575","06037","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-118.224550062411 34.321384729882)"
"2023","CA","California","Los Angeles","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","30.2",,,"28.2","32.3","9,663,345","7,710,575","06037","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure","POINT (-118.224550062411 34.321384729882)"
"2023","AZ","Arizona","Maricopa","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","10.6",,,"9.4","11.8","4,585,871","3,572,375","04013","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-112.491401814525 33.3490920459607)"
"2023","AZ","Arizona","Maricopa","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","30.4",,,"26.9","34.0","4,585,871","3,572,375","04013","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-112.491401814525 33.3490920459607)"
"2023","AZ","Arizona","Maricopa","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Age-adjusted prevalence","9.6",,,"8.6","10.7","4,585,871","3,572,375","04013","HLTHOUT","DIABETES","AgeAdjPrv","Diabetes","POINT (-112.491401814525 33.3490920459607)"
"2023","AZ","Arizona","Maricopa","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Age-adjusted prevalence","13.1",,,"10.5","15.8","4,585,871","3,572,375","04013","PREVENT","ACCESS2","AgeAdjPrv","Health Insurance","POINT (-112.491401814525 33.3490920459607)"
"2023","AZ","Arizona","Maricopa","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","12.9",,,"10.4","15.6","4,585,871","3,572,375","04013","PREVENT","ACCESS2","CrdPrv","Health Insurance","POINT (-112.491401814525 33.3490920459607)"
"2023","AZ","Arizona","Maricopa","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","30.6",,,"27.2","34.2","4,585,871","3,572,375","04013","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-112.491401814525 33.3490920459607)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","14.0",,,"11.1","17.3","671,586","538,537","35001","PREVENT","ACCESS2","CrdPrv","Health Insurance","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","11.6",,,"10.1","13.2","671,586","538,537","35001","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","33.0",,,"28.4","37.7","671,586","538,537","35001","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","67.7",,,"63.9","71.4","671,586","538,537","35001","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Age-adjusted prevalence","14.3",,,"11.3","17.7","671,586","538,537","35001","PREVENT","ACCESS2","AgeAdjPrv","Health Insurance","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Age-adjusted prevalence","10.2",,,"8.8","11.7","671,586","538,537","35001","HLTHOUT","DIABETES","AgeAdjPrv","Diabetes","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","65.5",,,"61.6","69.4","671,586","538,537","35001","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","33.5",,,"30.4","36.8","671,586","538,537","35001","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence","30.4",,,"27.3","33.5","671,586","538,537","35001","HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure","POINT (-106.670270116226 35.0512991138255)"
"2023","NM","New Mexico","Bernalillo","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","33.2",,,"28.5","37.9","671,586","538,537","35001","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-106.670270116226 35.0512991138255)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.8",,,"72.7","78.7","682,868","513,124","40143","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","11.7",,,"10.3","13.2","682,868","513,124","40143","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.6",,,"73.7","79.5","682,868","513,124","40143","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","35.6",,,"32.8","38.4","682,868","513,124","40143","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Age-adjusted prevalence","11.8",,,"9.5","14.2","682,868","513,124","40143","PREVENT","ACCESS2","AgeAdjPrv","Health Insurance","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence","33.8",,,"31.1","36.6","682,868","513,124","40143","HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","35.9",,,"32.0","39.7","682,868","513,124","40143","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Age-adjusted prevalence","10.8",,,"9.5","12.2","682,868","513,124","40143","HLTHOUT","DIABETES","AgeAdjPrv","Diabetes","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","11.6",,,"9.4","14.1","682,868","513,124","40143","PREVENT","ACCESS2","CrdPrv","Health Insurance","POINT (-95.9414861647567 36.1210679646417)"
"2023","OK","Oklahoma","Tulsa","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","35.7",,,"31.9","39.6","682,868","513,124","40143","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-95.9414861647567 36.1210679646417)"
"2023","TX","Texas","Dallas","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","12.5",,,"10.9","14.0","2,606,358","1,960,720","48113","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-96.7778014946126 32.7665843308618)"
"2023","TX","Texas","Dallas","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","20.6",,,"16.5","24.5","2,606,358","1,960,720","48113","PREVENT","ACCESS2","CrdPrv","Health Insurance","POINT (-96.7778014946126 32.7665843308618)"
"2023","TX","Texas","Dallas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.5",,,"72.4","78.3","2,606,358","1,960,720","48113","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-96.7778014946126 32.7665843308618)"
"2023","TX","Texas","Dallas","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence","33.5",,,"30.6","36.4","2,606,358","1,960,720","48113","HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure","POINT (-96.7778014946126 32.7665843308618)"
"2023","TX","Texas","Dallas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.2",,,"72.1","78.1","2,606,358","1,960,720","48113","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-96.7778014946126 32.7665843308618)"
